Row_ID,Tenant_ID,Tenant_Name,Owner_ID,Owner_Name,WH_ID,Warehouse_Location,Warehouse_State,Warehouse_Type,Warehouse_Size,Month,Month_Name,Quarter,Monthly_Rent_INR,GST_18pct_INR,Total_Invoice_INR,Lease_Duration_Months,Payment_Status,Payment_Date,Delay_Days,Amount_Paid_INR,Balance_Due_INR,Invoice_Sent,Invoice_Date,Due_Date,Reminder_Sent,Email_Sent,WhatsApp_Sent,Tenant_Type,Industry_Type,Payment_Behavior,Customer_Tenure_Months,Is_Paid_Binary,Is_Delayed_Binary,Revenue_Collected_INR,Size_Encoded,Type_Encoded,Behavior_Encoded,TenantType_Encoded,Risk_Score,Tenant_Segment,Month_Num,KMeans_Cluster,Cluster_Label,Tenant_Email,Tenant_Phone,Contact_Person,Owner_Email,Owner_Phone
TXN-0001,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-01-2023,Jan-23,Q1-2023,36522,6573,43095,24,Paid,11-01-2023,0,43095,0,Yes,01-01-2023,11-01-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,1,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0002,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-02-2023,Feb-23,Q1-2023,36522,6573,43095,24,Paid,11-02-2023,0,43095,0,Yes,01-02-2023,11-02-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,2,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0003,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-03-2023,Mar-23,Q1-2023,36522,6573,43095,24,Paid,11-03-2023,0,43095,0,Yes,01-03-2023,11-03-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,3,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0004,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-04-2023,Apr-23,Q2-2023,36522,6573,43095,24,Paid,11-04-2023,0,43095,0,Yes,01-04-2023,11-04-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,4,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0005,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-05-2023,May-23,Q2-2023,36522,6573,43095,24,Paid,11-05-2023,0,43095,0,Yes,01-05-2023,11-05-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,5,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0006,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-06-2023,Jun-23,Q2-2023,36522,6573,43095,24,Paid,11-06-2023,0,43095,0,Yes,01-06-2023,11-06-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,6,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0007,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-07-2023,Jul-23,Q3-2023,36522,6573,43095,24,Not Paid,,570,0,43095,Yes,01-07-2023,11-07-2023,Yes,Yes,Yes,Business,Retail,Defaulted,36,0,0,0,2,3,4,1,85,Defaulter,7,1,Late Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0008,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-08-2023,Aug-23,Q3-2023,36522,6573,43095,24,Paid,11-08-2023,0,43095,0,Yes,01-08-2023,11-08-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,8,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0009,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-09-2023,Sep-23,Q3-2023,36522,6573,43095,24,Paid,11-09-2023,0,43095,0,Yes,01-09-2023,11-09-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,9,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
TXN-0010,TNT-01,FreshMart Retail,OWN-01,Rajesh Shah,WH-01,Udaipur,Rajasthan,Cold Storage,Medium,01-10-2023,Oct-23,Q4-2023,36522,6573,43095,24,Paid,11-10-2023,0,43095,0,Yes,01-10-2023,11-10-2023,No,Yes,Yes,Business,Retail,On-time,36,1,0,43095,2,3,1,1,15,Regular Payer,10,0,Regular Payer,procurement@freshmart.in,9871234560,Suresh Kumar,rajesh.shah@warehub.in,9876543210
